2025-09-08 12:35:04,049 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000641}
2025-09-08 12:35:04,145 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.010593}
2025-09-08 12:35:10,860 {'url': '/api/InsertData', 'method': 'POST', 'client_IP': '127.0.0.1', 'response_time': 0.0021}
2025-09-08 12:36:17,379 {'url': '/api/InsertData', 'method': 'POST', 'client_IP': '127.0.0.1', 'response_time': 0.008632}
2025-09-08 12:44:20,235 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000752}
2025-09-08 12:44:20,351 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.010302}
2025-09-08 12:44:33,869 {'url': '/api/UpdateData', 'method': 'PUT', 'client_IP': '127.0.0.1', 'response_time': 0.009701}
2025-09-08 12:45:18,493 {'url': '/api/getitemslistfromdb', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.00352}
2025-09-08 12:45:37,507 {'url': '/api/getitemslistfromdb', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.002519}
2025-09-08 12:45:42,493 {'url': '/api/getitemslistfromdb', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.002963}
2025-09-08 12:46:03,890 {'url': '/api/UpdateData', 'method': 'PUT', 'client_IP': '127.0.0.1', 'response_time': 0.001248}
2025-09-08 12:46:15,436 {'url': '/api/UpdateData', 'method': 'PUT', 'client_IP': '127.0.0.1', 'response_time': 0.007475}
2025-09-08 12:48:47,329 {'url': '/api/getitemslistfromdb', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.006565}
2025-09-08 12:48:52,124 {'url': '/api/getitemslistfromdb', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.004099}
2025-09-08 12:48:54,483 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000708}
2025-09-08 12:48:54,635 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.011373}
2025-09-08 12:49:07,286 {'url': '/api/getitemslistfromdb', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.004938}
2025-09-08 12:49:11,292 {'url': '/api/getitemslistfromdb', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.003109}
2025-09-08 12:49:14,221 {'url': '/docs', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000522}
2025-09-08 12:49:14,287 {'url': '/openapi.json', 'method': 'GET', 'client_IP': '127.0.0.1', 'response_time': 0.000507}
2025-09-08 12:49:58,535 {'url': '/api/UpdateData', 'method': 'PUT', 'client_IP': '127.0.0.1', 'response_time': 0.006956}
